Ident ,DIM
090652HO ,396
090678HO ,255
090678HO ,209
090678HO ,244
090678HO ,250
090678HO ,304
090680HO ,245
090680HO ,261
090680HO ,242
090680HO ,301
090680HO ,343
090680HO ,273
090683HO ,274
090683HO ,116
090684HO ,258
090684HO ,318
090684HO ,7
090685HO ,382
090685HO ,340
090685HO ,428
090687HO ,270
090687HO ,189
090689HO ,227
090689HO ,335
090689HO ,297
090689HO ,351
090689HO ,313
090714HO ,70
090716HO ,212
090716HO ,276
090716HO ,295
090716HO ,284
090721HO ,242
090721HO ,250
090721HO ,290
090737HO ,322
090737HO ,367
090737HO ,242
090737HO ,221
090737HO ,339
090740HO ,310
090740HO ,291
090740HO ,267
090740HO ,349
090741HO ,272
090741HO ,178
090741HO ,304
090741HO ,225
090741HO ,244
090741HO ,233
090742HO ,241
090743JE   ,229
090743JE   ,257
090743JE   ,207
090743JE   ,231
090743JE   ,204
090744HO ,287
090744HO ,243
090744HO ,222
090744HO ,338
090744HO ,274
090746HO ,312
090746HO ,146
090746HO ,254
090746HO ,251
090759HO ,293
090759HO ,287
090759HO ,228
090759HO ,244
090759HO ,315
090759HO ,283
090759HO ,295
090766HO ,268
090766HO ,271
090766HO ,247
090766HO ,267
090766HO ,278
090766HO ,271
090766HO ,306
090768HO ,274
090768HO ,315
090768HO ,275
090768HO ,358
090768HO ,328
090768HO ,290
090779HO ,199
090779HO ,281
090779HO ,363
090779HO ,191
090780HO ,402
090780HO ,215
090780HO ,1
090782HO ,209
090783HO ,214
090783HO ,218
090783HO ,310
090783HO ,365
090783HO ,267
090783HO ,319
090783HO ,138
090796HO ,253
090796HO ,282
090796HO ,308
090796HO ,209
090796HO ,249
090796HO ,285
090797HO ,314
090797HO ,287
090798HO ,382
090798HO ,283
090812HO ,288
090812HO ,201
090812HO ,236
090812HO ,208
090812HO ,237
090812HO ,212
090812HO ,180
090814HO ,249
090814HO ,271
090814HO ,256
090814HO ,116
090816CP   ,297
090816CP   ,303
090816CP   ,313
090825HO ,209
090825HO ,346
090825HO ,248
090825HO ,301
090825HO ,245
090825HO ,273
090884HO ,416
090884HO ,247
090884HO ,334
090884HO ,474
090895HO ,304
090895HO ,306
090895HO ,244
090895HO ,334
09092CA ,168
09092CA ,32
09096CA ,268
09096CA ,27
09097CA ,263
09097CA ,336
099008CP   ,59
099008CP   ,73
099057CP   ,332
099057CP   ,263
099057CP   ,91
099057CP   ,230
099057CP   ,254
099235CP ,215
099235CP ,252
099235CP ,205
099235CP ,281
099235CP ,190
099235CP ,256
099687CP   ,265
099687CP   ,252
099687CP   ,153
099687CP   ,105
100000HO   ,221
100001CP   ,207
100001HO ,328
100001HO ,257
100001HO ,318
100001HO ,244
100001HO ,270
100002HO ,193
100002HO ,173
100003HO ,241
100003HO ,332
100003HO ,190
100003HO ,286
100003HO ,279
100004HO ,79
100005HO ,158
100006HO ,320
100006HO ,271
100007HO ,96
100008HO ,300
100008HO ,318
100008HO ,89
100009HO ,291
100009HO ,266
100009HO ,278
100009HO ,307
100009HO ,277
100010HO ,225
100010HO ,243
100011HO ,301
100011HO ,376
100011HO ,102
100012HO ,359
100013CP   ,323
100013CP   ,236
100013CP   ,178
100013HO ,267
100013HO ,103
100014HO ,354
100014HO ,335
100014HO ,105
100014HO ,418
100015HO ,428
100015HO ,104
100015HO ,279
100016HO ,276
100016HO ,129
100017HO ,291
100017HO ,296
100018HO ,181
100018HO ,274
100018HO ,160
100018HO ,209
100018HO ,248
100018HO ,278
100019HO ,332
100019HO ,348
100021HO ,293
100021HO ,277
100022HO ,320
100022HO ,124
100023HO ,93
100024HO ,286
100024HO ,346
100024HO ,272
100024HO ,309
100024HO ,335
100024HO ,253
100025HO ,342
100025HO ,77
100026HO ,274
100026HO ,205
100027HO ,267
100027HO ,199
100028HO ,273
100028HO ,252
100029HO ,280
100029HO ,216
100029HO ,317
100029HO ,287
100029HO ,265
100030HO ,349
100030HO ,215
100030HO ,220
100030HO ,132
100030HO ,160
100030HO ,242
100031HO ,256
100031HO ,241
100031HO ,229
100031HO ,243
100031HO ,262
100031HO ,248
100031HO ,189
100032HO ,278
100032HO ,195
100032HO ,210
100032HO ,39
100033HO ,223
100033HO ,177
100033HO ,15
100033HO ,260
100033HO ,226
100034HO ,284
100034HO ,235
100034HO ,230
100034HO ,251
100034HO ,261
100035HO ,304
100035HO ,245
100036HO ,281
100036HO ,317
100036HO ,285
100036HO ,256
100037HO ,431
100037HO ,48
100037HO ,415
100037HO ,400
100037HO ,236
100038HO ,392
100038HO ,311
100038HO ,500
100038HO ,348
100038HO ,329
100040HO ,267
100040HO ,291
100040HO ,390
100040HO ,253
100040HO ,299
100040HO ,60
100042HO ,200
100042HO ,152
100043HO ,263
100043HO ,277
100043HO ,300
100043HO ,320
100043HO ,80
100044HO ,262
100044HO ,314
100046JE ,267
100047HO ,315
100047HO ,239
100047HO ,159
100048CP ,230
100048HO ,355
100048HO ,400
100048HO ,336
100051CP   ,353
100051CP   ,264
100051CP   ,290
100051CP   ,307
100051CP   ,108
100051HO ,229
100051HO ,85
100052HO ,234
100052HO ,141
100053JE ,268
100053JE ,239
100053JE ,252
100053JE ,19
100054HO ,177
100054HO ,23
100054HO ,244
100054HO ,212
100055CP   ,100
100055CP   ,249
100055HO ,300
100055HO ,186
100056HO ,140
100056HO ,88
100060HO ,264
100060HO ,348
100060HO ,396
100060HO ,300
100060HO ,361
100062HO ,233
100063HO ,274
100063HO ,244
100063HO ,295
100063HO ,282
100063HO ,214
100064HO ,181
100065HO ,180
100066HO ,285
100066HO ,199
100066HO ,235
100066HO ,267
100066HO ,241
100066HO ,286
100067HO ,334
100067HO ,329
100067HO ,273
100067HO ,343
100068HO ,247
100068HO ,0
100069HO ,145
100069HO ,215
100070HO ,165
100071HO ,347
100071HO ,377
100071HO ,279
100071HO ,215
100072HO ,262
100072HO ,187
100072HO ,81
100073HO ,265
100073HO ,270
100074HO ,237
100074HO ,280
100074HO ,255
100074HO ,236
100075HO ,282
100075HO ,328
100075HO ,484
100075HO ,438
100076HO ,258
100076HO ,0
100076HO ,205
100076HO ,174
100076HO ,201
100076HO ,240
100077HO ,332
100077HO ,230
100078HO ,268
100078HO ,254
100078HO ,265
100080HO ,269
100080HO ,279
100080HO ,251
100080HO ,260
100080HO ,265
100080HO ,162
100081HO ,267
100082HO ,215
100082HO ,261
100082HO ,273
100082HO ,287
100082HO ,278
100082HO ,339
100083HO ,355
100083HO ,164
100083HO ,273
100083HO ,180
100085HO ,254
100085HO ,76
100085HO ,305
100085HO ,185
100085HO ,278
100085HO ,249
100086HO ,231
100086HO ,323
100086HO ,219
100087HO ,4
100087HO ,366
100088HO ,252
100089HO ,278
100089HO ,324
100089HO ,272
100089HO ,174
100090HO ,37
100091HO ,224
100091HO ,254
100091HO ,257
100091HO ,186
100091HO ,241
100091HO ,231
100092HO ,353
100092HO ,301
100092HO ,325
100092HO ,200
100092HO ,286
100093HO ,245
100093HO ,152
100094HO ,287
100094HO ,422
100094HO ,427
100094HO ,399
100094HO ,21
100096HO ,204
100096HO ,176
100096HO ,155
100096HO ,223
100096HO ,212
100096HO ,169
100097HO ,394
100097HO ,429
100097HO ,338
100098HO ,277
100098HO ,225
100098HO ,303
100098HO ,189
100098HO ,199
100098HO ,243
100099HO ,257
100099HO ,286
100099HO ,309
100100HO ,96
100100HO ,258
100100HO ,275
100101HO ,347
100102HO ,307
100102HO ,272
100103HO ,227
100103HO ,306
100104HO ,217
100104HO ,167
100104HO ,146
100104ME   ,260
100104ME   ,247
100105HO ,197
100106HO ,295
100106HO ,118
100106HO ,214
100106HO ,197
100106HO ,221
100106HO ,181
100106HO ,138
100107HO ,244
100107HO ,417
100108HO ,297
100108HO ,335
100109HO ,158
100109HO ,24
100109HO ,275
100109HO ,214
100110HO ,149
100110HO ,239
100110HO ,267
100110HO ,233
100111HO ,121
100113HO ,262
