Ident,TotLec
110931HO  ,218.6999969
110931HO  ,200.6000061
110931HO  ,123.5999985
110931HO  ,101.1999969
110931HO  ,153.8999939
110931HO  ,107.3000031
110931HO  ,52.09999847
110931HO  ,40.20000076
110931HO  ,256
110931HO  ,169.3000031
110931HO  ,260.5
110931HO  ,187.6000061
110931HO  ,188.8999939
110931HO  ,180.1000061
110931HO  ,188.1999969
110931HO  ,163.5
110931HO  ,148.1999969
110931HO  ,157.8999939
110931HO  ,164.6000061
110931HO  ,112.0999985
110931HO  ,119.8000031
110931HO  ,93.19999695
110936HO  ,262.3999939
110936HO  ,231
110936HO  ,104.1999969
110936HO  ,109
110936HO  ,494.2999878
110936HO  ,502.5
110936HO  ,264.2000122
110936HO  ,227
110936HO  ,202.8000031
110936HO  ,201.6999969
110936HO  ,195.3999939
110936HO  ,196.3999939
110936HO  ,154.3000031
110936HO  ,133.6000061
110936HO  ,130.8000031
110936HO  ,136.8999939
110936HO  ,119.3000031
110936HO  ,95.19999695
110936HO  ,110.5999985
110936HO  ,106.5999985
110936HO  ,122.8000031
110936HO  ,112.1999969
110936HO  ,53.20000076
110936HO  ,229
110936HO  ,356.2000122
110936HO  ,319.8999939
110936HO  ,248.8999939
110936HO  ,287.3999939
110936HO  ,361.8999939
110936HO  ,315.8999939
110936HO  ,267.1000061
110936HO  ,262.7999878
110936HO  ,220.1000061
110936HO  ,155.8999939
110936HO  ,169.1999969
110936HO  ,158.8000031
110936HO  ,173.5
110936HO  ,168.3999939
110936HO  ,161
110936HO  ,144.8000031
110936HO  ,114.4000015
110936HO  ,113.9000015
110936HO  ,119.6999969
110936HO  ,35.20000076
110936HO  ,257.7000122
110936HO  ,243.6000061
110936HO  ,279.2999878
110936HO  ,350
110936HO  ,265.7000122
110936HO  ,214.3000031
110936HO  ,255.1999969
110936HO  ,180.6000061
110936HO  ,120.8000031
110936HO  ,95.59999847
110936HO  ,95.80000305
110936HO  ,128.5
110936HO  ,88.69999695
110936HO  ,91.90000153
110936HO  ,71.09999847
110936HO  ,51.20000076
110939HO  ,109.4000015
110939HO  ,100.0999985
110940HO  ,13.60000038
110940HO  ,46.20000076
110940HO  ,232.8999939
110940HO  ,163.6000061
110940HO  ,193.3000031
110940HO  ,174.1999969
110940HO  ,96.40000153
110940HO  ,44.40000153
110940HO  ,58.90000153
110940HO  ,53.29999924
110940HO  ,56.79999924
110940HO  ,251.1000061
110940HO  ,249.5
110940HO  ,243.3000031
110940HO  ,293
110940HO  ,281.5
110940HO  ,238.6000061
110940HO  ,243.3999939
110940HO  ,168.6000061
110940HO  ,42.40000153
110940HO  ,20.70000076
110940HO  ,18.60000038
110945HO  ,119.1999969
110945HO  ,145.1999969
110945HO  ,288.1000061
110945HO  ,399.7000122
110945HO  ,227.8999939
110945HO  ,225
110945HO  ,217.8999939
110945HO  ,187.5
110945HO  ,218.6000061
110945HO  ,221.5
110945HO  ,144.6999969
110945HO  ,190.3000031
110945HO  ,191.6999969
110945HO  ,161
110945HO  ,190.8000031
110945HO  ,239.5
110945HO  ,245.1000061
110945HO  ,278.7999878
110945HO  ,242.8999939
110945HO  ,234.3000031
110945HO  ,291.2999878
110945HO  ,346.7000122
110945HO  ,290
110945HO  ,298.2000122
110945HO  ,265.6000061
110945HO  ,212.6000061
110945HO  ,182.3000031
110945HO  ,112.8000031
110945HO  ,148.8000031
110945HO  ,65.30000305
110945HO  ,29.29999924
110945HO  ,25.20000076
110945HO  ,65
110945HO  ,202
110945HO  ,236.6999969
110945HO  ,330.3999939
110945HO  ,392
110945HO  ,370.2000122
110945HO  ,296.2999878
110945HO  ,256.2000122
110945HO  ,311.1000061
110945HO  ,315.2999878
110945HO  ,285
110945HO  ,243.3999939
110945HO  ,267.7999878
110945HO  ,265.1000061
110945HO  ,214.6000061
110945HO  ,170.1999969
110945HO  ,102
110945HO  ,197
110945HO  ,324.8999939
110945HO  ,264.2999878
110945HO  ,204.8999939
110945HO  ,339
110945HO  ,168.3999939
110945HO  ,182.8000031
110945HO  ,201.1999969
110945HO  ,225.3000031
110945HO  ,202.6999969
110945HO  ,185.1000061
110945HO  ,185
110945HO  ,156.8999939
110945HO  ,149.3999939
110945HO  ,167.3999939
110945HO  ,167
110945HO  ,140.5
110945HO  ,112.3000031
110946HO  ,261.2999878
110946HO  ,233.1000061
110946HO  ,5.599999905
110946HO  ,65.69999695
110946HO  ,98.90000153
110946HO  ,112.4000015
110946HO  ,78.30000305
110946HO  ,178.3999939
110946HO  ,297.5
110946HO  ,302.7000122
110946HO  ,155.6000061
110946HO  ,156
110946HO  ,171.3000031
110946HO  ,164.3999939
110946HO  ,137.8999939
110946HO  ,149.1999969
110946HO  ,134.5
110946HO  ,119.8000031
110946HO  ,109.8000031
110946HO  ,107.6999969
110946HO  ,97.90000153
110946HO  ,78.69999695
110946HO  ,55.5
110946HO  ,182.6999969
110946HO  ,243.1999969
110946HO  ,202.5
110946HO  ,139.8999939
110946HO  ,161.1000061
110946HO  ,157.5
110946HO  ,81.59999847
110946HO  ,48.20000076
110946HO  ,52.40000153
110949HO  ,59
110949HO  ,146
110949HO  ,0
110949HO  ,53.20000076
110949HO  ,123.3000031
110949HO  ,278
110949HO  ,368.6000061
110949HO  ,185.3000031
110949HO  ,176.3999939
110949HO  ,180.6000061
110949HO  ,167
110949HO  ,163.6999969
110949HO  ,152.8000031
110949HO  ,155.6000061
110949HO  ,157.1000061
110949HO  ,128.8999939
110949HO  ,100.4000015
110949HO  ,101.4000015
110949HO  ,97.30000305
110949HO  ,77.19999695
110949HO  ,154.6000061
110949HO  ,166
110949HO  ,133.8999939
110949HO  ,117.9000015
110949HO  ,178.1999969
110949HO  ,206.6999969
110949HO  ,87.69999695
110957HO  ,343
110957HO  ,308.7999878
110957HO  ,9.100000381
110957HO  ,95.30000305
110957HO  ,122.8000031
110957HO  ,89.80000305
110957HO  ,119.5
110957HO  ,111.0999985
110957HO  ,481.2000122
110957HO  ,513.7999878
110957HO  ,267.7000122
110957HO  ,277.6000061
110957HO  ,260.2999878
110957HO  ,266.6000061
110957HO  ,272.2000122
110957HO  ,284.3999939
110957HO  ,260.7000122
110957HO  ,276.6000061
110957HO  ,266
110957HO  ,259.2999878
110957HO  ,109.8000031
110957HO  ,236.1999969
110957HO  ,228.1000061
110957HO  ,337
110957HO  ,316.2000122
110957HO  ,293.7999878
110957HO  ,334.6000061
110957HO  ,276.2999878
110957HO  ,267.2000122
110957HO  ,311.7000122
110957HO  ,262.2999878
110957HO  ,259.2000122
110957HO  ,272.6000061
110957HO  ,266.2999878
110957HO  ,269.8999939
110957HO  ,261.7999878
110957HO  ,178.8999939
110957HO  ,307.5
110957HO  ,245
110957HO  ,172.6000061
110957HO  ,164.5
110957HO  ,69.90000153
110957HO  ,141.5
110957HO  ,113.4000015
110957HO  ,105.5
110957HO  ,301.7000122
110957HO  ,301
110957HO  ,278
110957HO  ,305.3999939
